SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2
935,American mountain-ash,Sorbus,americana,,,SOAM3,43,43,4,25,221,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
936,European mountain-ash,Sorbus,aucuparia,,,SOAU,43,43,4,25,146,,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
937,northern mountain-ash,Sorbus,decora,,,SODE3,43,47,4,25,221,X,X,,,,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
940,West Indian mahogany,Swietenia,mahagoni,,,SWMA2,43,47,4,37,146,,,,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,75.13,26,80.49,26,0.58,26,15.16,26,0.12766,0.91979,0.12152
950,basswood spp.,Tilia,spp.,,,TILIA,38,38,3,35,221,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,23,0.48,23,105,23,90,23,0.37,23,10.53,21,0.12766,0.91979,0.12152
951,American basswood,Tilia,americana,,,TIAM,38,38,3,35,124,X,X,,,X,X,H,X,X,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,1,0.48,3,105.34375,1,90.3125,22,0.37,1,10.5,28,0.12766,0.91979,0.12152
952,white basswood,Tilia,americana,heterophylla,,TIAMH,38,38,3,35,124,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,24,0.48,24,105,24,90,24,0.37,24,10.53,24,0.12766,0.91979,0.12152
126,pitch pine,Pinus,rigida,,,PIRI,3,3,1,4,50,,X,,,X,,S,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,1.01056,0.47,1,0.34,3,70.48936,4,88.52941,12,0.52,1,13.4,21,0.08091,0.90698,0.08469
127,gray or California foothill pine,Pinus,sabiniana,,,PISA2,24,24,1,38,163,,,X,,,,S,,,,,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.4,7,0.4,7,80.3,22,60.25,22,0.43,21,22,30,0.08091,0.90698,0.08469
128,pond pine,Pinus,serotina,,,PISE,3,3,1,12,51,,X,,,X,X,S,,X,,,X,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,1.01056,0.51,1,0.33,22,60.2549,22,94.24242,22,0.56,1,13.4,21,0.08091,0.90698,0.08469
129,eastern white pine,Pinus,strobus,,,PIST,4,4,1,13,53,X,X,,,X,X,S,X,X,,,X,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.72911,0.34,1,0.47,4,64.97059,22,70.48936,22,0.35,1,16,35,0.08091,0.90698,0.08469
130,Scotch pine,Pinus,sylvestris,,,PISY,3,24,1,4,71,X,X,X,X,X,X,S,X,X,,X,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,1.01056,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.08091,0.90698,0.08469
131,loblolly pine,Pinus,taeda,,,PITA,2,2,1,14,52,X,X,,,X,X,S,,X,,,X,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.76331,0.47,1,0.33,4,80.7234,4,99.12121,12,0.51,1,16.6,29,0.08091,0.90698,0.08469
132,Virginia pine,Pinus,virginiana,,,PIVI2,3,3,1,4,54,X,X,,,X,X,S,,X,,,X,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,1.01056,0.45,1,0.54,4,78.06667,22,89.92593,22,0.48,1,13.4,21,0.08091,0.90698,0.08469
133,singleleaf pinyon,Pinus,monophylla,,,PIMO,23,23,1,38,162,,,X,X,X,,S,,,,,,,W,X,1.7,,,2/24/2005,333,,8/10/2009,440,Y,10,-0.7152,1.7029,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.35166,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.12798,0.92267,0.12506
134,border pinyon,Pinus,discolor,,,PIDI3,23,23,1,38,162,,,,X,X,,S,,,,,,,W,X,1.7,,,2/24/2005,333,,8/10/2009,440,Y,10,-0.7152,1.7029,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.35166,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.12798,0.92267,0.12506
135,Arizona pine,Pinus,arizonica,,,PIAR5,11,11,1,10,26,,,,X,X,X,S,,,,X,,,W,,1.7,,,2/24/2005,333,,8/10/2009,440,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.43374,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.08091,0.90698,0.08469
136,Austrian pine,Pinus,nigra,,,PINI,9,24,1,20,70,X,X,,X,X,,S,,,,X,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.08091,0.90698,0.08469
137,Washoe pine,Pinus,washoensis,,,PIWA,24,24,1,10,40,,,X,X,,,S,,,X,X,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.08091,0.90698,0.08469
138,four-leaf or Parry pinyon pine,Pinus,quadrifolia,,,PIQU,24,24,1,38,162,,,X,,,,S,,,,,,,W,X,1.7,,,2/24/2005,333,,3/19/2008,333,Y,10,-0.7152,1.7029,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.12798,0.92267,0.12506
139,Torrey pine,Pinus,torreyana,,,PITO,24,24,1,10,40,,,X,,,,S,,,,,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.08091,0.90698,0.08469
140,Mexican pinyon pine,Pinus,cembroides,,,PICE,23,23,1,38,162,,,,X,X,,S,,,,,,,W,X,1.7,,,2/24/2005,333,,3/19/2008,333,Y,10,-0.7152,1.7029,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.35166,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.12798,0.92267,0.12506
141,Papershell pinyon pine,Pinus,remota,,,PIRE5,23,23,1,38,162,,,,,X,,S,,,,,,E,,X,4,,,6/7/2007,333,,3/19/2008,333,N,10,-0.7152,1.7029,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.35166,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.12798,0.92267,0.12506
142,Great Basin bristlecone pine,Pinus,longaeva,,,PILO,24,24,1,10,20,,,X,X,,,S,,,,X,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.08091,0.90698,0.08469
143,Arizona pinyon pine,Pinus,monophylla,fallax,,PIMOF,23,23,1,38,162,,,,X,X,,S,,,,,,,W,X,1.7,,,2/24/2005,333,,8/10/2009,440,Y,10,-0.7152,1.7029,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.35166,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.12798,0.92267,0.12506
144,Honduras pine,Pinus,elliottii,elliottii,,PIELE2,9,24,1,7,228,,,,,X,,S,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,Y,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.43,24,0.4,24,76.13,24,68.38,24,0.47,24,16.13,24,0.08091,0.90698,0.08469
200,Douglas-fir spp.,Pseudotsuga,spp.,,,PSEUD7,9,10,2,15,220,X,,X,,,,S,,,,,,,W,,2,,,2/24/2005,333,,3/19/2008,333,N,2,-2.2304,2.4435,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.45,23,0.44,23,35,23,89,23,0.48,23,17.34,21,0.12667,0.914,0.11975
201,bigcone Douglas-fir,Pseudotsuga,macrocarpa,,,PSMA,10,10,2,15,30,,,X,,,X,S,,,X,,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,2,-2.2304,2.4435,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.45,24,0.44,24,35,24,89,24,0.48,24,17.34,24,0.12667,0.914,0.11975
202,Douglas-fir,Pseudotsuga,menziesii,,,PSME,9,10,2,15,31,X,X,X,X,X,X,S,,,X,X,,,W,,1.7,,,2/24/2005,333,,8/10/2009,440,Y,2,-2.2304,2.4435,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.52566,0.45,1,0.44,9,35.33333,4,89.38636,12,0.48,1,17.3,27,0.12667,0.914,0.11975
211,redwood,Sequoia,sempervirens,,,SESE3,16,16,2,19,32,,,X,,,X,S,,,X,,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.40997,0.36,1,0.43,3,122.58333,4,15.53488,7,0.38,1,18,30,0.12667,0.914,0.11975
212,giant sequoia,Sequoiadendron,giganteum,,,SEGI2,24,24,2,19,33,,,X,,,,S,,,,,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.34,7,0.34,7,178.08824,7,17.82353,22,0.38,21,18,21,0.12667,0.914,0.11975
220,baldcypress spp.,Taxodium,spp.,,,TAXOD,9,24,2,31,229,X,X,,,X,,S,,,,,,E,,,2,,,2/24/2005,333,,3/19/2008,333,N,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.42,23,0.5,23,95,23,99,23,0.46,23,20,21,0.12667,0.914,0.11975
221,baldcypress,Taxodium,distichum,,,TADI2,8,8,2,31,61,X,X,,,X,,S,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.95175,0.42,1,0.5,3,94.59524,16,98.72,22,0.46,1,20,33,0.12667,0.914,0.11975
222,pondcypress,Taxodium,ascendens,,,TAAS,8,8,2,31,229,,X,,,X,,S,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.95175,0.42,24,0.5,24,95,24,99,24,0.46,24,20,24,0.12667,0.914,0.11975
223,Montezuma baldcypress,Taxodium,mucronatum,,,TAMU,8,8,2,31,61,,,,,X,,S,,,,,,E,,,4,,,6/7/2007,333,,3/19/2008,333,N,1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.95175,0.42,24,0.5,24,95,24,99,24,0.46,24,20,24,0.12667,0.914,0.11975
953,Carolina basswood,Tilia,americana,caroliniana,,TIAMC,38,38,3,35,124,X,,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.67171,0.32,24,0.48,24,105,24,90,24,0.37,24,10.53,24,0.12766,0.91979,0.12152
970,elm spp.,Ulmus,spp.,,,ULMUS,41,41,3,36,221,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,N,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.54,23,0.43,23,66,23,91.08,14,0.59,23,14,32,0.12766,0.91979,0.12152
971,winged elm,Ulmus,alata,,,ULAL,41,41,4,36,209,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.6,11,0.45,22,41.56667,22,74.51111,22,0.66,11,14,21,0.12766,0.91979,0.12152
972,American elm,Ulmus,americana,,,ULAM,41,47,3,36,94,X,X,,X,X,X,H,X,X,,X,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.46,1,0.44,3,94,1,78.47727,22,0.5,1,14,21,0.12766,0.91979,0.12152
973,cedar elm,Ulmus,crassifolia,,,ULCR,41,41,3,36,209,X,,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.59,11,0.45,22,65.69492,1,74.51111,22,0.64,11,14,21,0.12766,0.91979,0.12152
974,Siberian elm,Ulmus,pumila,,,ULPU,41,47,3,36,146,X,X,,X,X,,H,,,,X,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.54,24,0.43,24,66,24,91.08,24,0.59,24,14,24,0.12766,0.91979,0.12152
