"Species","B0","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","B16","B17","B18","B19"
241,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,103.43,0,4.5,8.2079,0.19672,1.3112,0.33978,1.00001,0.76173,0.11666
261,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,84.68,0.62,4.5,6.077,0.2495,3.8663,0.5018,1.00001,0.8244,0.0482
313,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,82.6,0.6,4.5,6.9572,0.26564,1,0.4866,1.00001,0.76954,0.01617
316,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,102.19,0,4.5,6.86,0.27725,1.4287,0.40115,1.00001,0.85299,0.12403
318,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,104.42,-0.16,4.5,5.3416,0.23044,1.1529,0.54194,1.00001,0.8344,0.06372
371,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,102.41,0,4.5,7.1852,0.28384,1.4417,0.38884,1.00001,0.82157,0.11411
373,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,83.62,0.6,4.5,7.2773,0.22721,1,0.41179,1.00001,0.76498,0.11046
375,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,98.21,0.2,4.5,7.2773,0.22721,1,0.41179,1.00001,0.76498,0.11046
402,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,85.09,0.6,4.5,6.1034,0.17368,1,0.44725,1.00001,1.0237,0.1461
407,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,85.18,0.6,4.5,6.1034,0.17368,1,0.44725,1.00001,1.0237,0.1461
462,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,98.95,0,4.5,6.86,0.27725,1.4287,0.40115,1.00001,0.85299,0.12403
531,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,111.73,-0.23,4.5,7.1852,0.28384,1.4417,0.38884,1.00001,0.82157,0.11411
543,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,98.44,0,4.5,11.291,0.2525,1.5466,0.35711,1.00001,0.7506,0.06859
544,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,83,0.6,4.5,8.1782,0.27316,1.725,0.38694,1.00001,0.75822,0.10847
602,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,114.84,-0.88,4.5,6.3628,0.27859,1.8677,0.49589,1.00001,0.76169,0.05841
611,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,82.52,0.6,4.5,5.3416,0.23044,1.1529,0.54194,1.00001,0.8344,0.06372
621,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,90.23,0.6,4.5,6.3628,0.27859,1.8677,0.49589,1.00001,0.76169,0.05841
691,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,81.01,0.6,4.5,5.3416,0.23044,1.1529,0.54194,1.00001,0.8344,0.06372
701,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,84.71,0.6,4.5,6.9572,0.26564,1,0.4866,1.00001,0.76954,0.01617
731,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,93.83,0.6,4.5,6.3628,0.27859,1.8677,0.49589,1.00001,0.76169,0.05841
742,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,82.5,0.6,4.5,13.625,0.28668,1.6124,0.30651,1.00001,1.0292,0.07461
743,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,91.51,0.37,4.5,5.5346,0.22637,1,0.46918,1.00001,0.72456,0.11782
746,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,91.51,0.37,4.5,6.4301,0.23545,1.338,0.4737,1.00001,0.73385,0.08228
762,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,114.84,-0.88,4.5,5.3416,0.23044,1.1529,0.54194,1.00001,0.8344,0.06372
802,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,83.95,0.6,4.5,9.2078,0.22208,1,0.31723,1.00001,0.8256,0.13465
830,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,84.59,0.6,4.5,3.8011,0.39213,2.9053,0.55634,1.00001,0.84317,0.09593
833,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,84.21,0.6,4.5,6.6844,0.19049,1,0.43972,1.00001,0.82962,0.10806
834,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,84.21,0.6,4.5,6.6844,0.19049,1,0.43972,1.00001,0.82962,0.10806
835,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,84.24,0.6,4.5,9.2078,0.22208,1,0.31723,1.00001,0.8256,0.13465
901,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,82.6,0.6,4.5,6.9572,0.26564,1,0.4866,1.00001,0.76954,0.01617
951,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,97.07,0,4.5,6.3628,0.27859,1.8677,0.49589,1.00001,0.76169,0.05841
972,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,98.95,0,4.5,8.458,0.27527,1.9602,0.34894,1.00001,0.89213,0.12594
999,0.0030086,0.0020355,-0.0030018,6.2381e-05,2.5705e-05,-7.009e-06,3.6708e-05,8.14e-10,-1.9e-09,79,84.71,0.6,4.5,6.9572,0.26564,1,0.4866,1.00001,0.76954,0.01617
