"species","size","B0","B1"
"652","sapling",0.051279,0.002641
"652","poles",-0.19841,0.001901
"652","sawtimber",0.735415,0.001775
"653","sapling",0.057904,0.002603
"653","poles",-0.19841,0.001901
"653","sawtimber",0.735415,0.001775
"680","sapling",0.058647,0.002378
"680","poles",-0.347844,0.001837
"680","sawtimber",-0.202284,0.001818
"691","sapling",0.062785,0.002458
"691","poles",-0.267107,0.001904
"691","sawtimber",1.749738,0.001659
"693","sapling",0.048582,0.002498
"693","poles",-0.225146,0.001902
"693","sawtimber",0.69073,0.001767
"694","sapling",0.088427,0.002681
"694","poles",-0.466949,0.001972
"694","sawtimber",1.284413,0.00176
"731","sapling",0.054564,0.002565
"731","poles",0.229691,0.001901
"731","sawtimber",2.326908,0.001649
"740","sapling",0.054564,0.002565
"740","poles",-0.451948,0.001921
"740","sawtimber",0.518892,0.001802
"741","sapling",0.054564,0.002565
"741","poles",-0.451948,0.001921
"741","sawtimber",0.518892,0.001802
"762","sapling",0.155471,0.002461
"762","poles",-0.5472,0.001948
"762","sawtimber",-0.607326,0.001957
"802","sapling",0.044339,0.002539
"802","poles",-0.37698,0.001948
"802","sawtimber",0.148434,0.00188
"804","sapling",0.041238,0.002603
"804","poles",-0.279035,0.001894
"804","sawtimber",0.248363,0.001823
"806","sapling",0.067831,0.00266
"806","poles",-0.225632,0.001917
"806","sawtimber",0.003343,0.001887
"808","sapling",0.080702,0.002467
"808","poles",-0.316577,0.001817
"808","sawtimber",-0.085426,0.001783
"812","sapling",0.080702,0.002467
"812","poles",-0.316577,0.001817
"812","sawtimber",-0.085426,0.001783
"813","sapling",0.041238,0.002603
"813","poles",0.046929,0.00195
"813","sawtimber",1.212451,0.001791
"817","sapling",0.041238,0.002603
"817","poles",-0.279035,0.001894
"817","sawtimber",0.248363,0.001823
"820","sapling",0.024511,0.002637
"820","poles",-0.351135,0.002014
"820","sawtimber",0.846919,0.00184
"822","sapling",0.041238,0.002603
"822","poles",-0.279035,0.001894
"822","sawtimber",0.248363,0.001823
"823","sapling",0.041238,0.002603
"823","poles",-0.279035,0.001894
"823","sawtimber",0.248363,0.001823
"824","sapling",0.053215,0.002475
"824","poles",-0.18395,0.001841
"824","sawtimber",-0.035319,0.001807
"825","sapling",0.041238,0.002603
"825","poles",0.343571,0.001822
"825","sawtimber",0.376354,0.001818
"826","sapling",0.041238,0.002603
"826","poles",-0.279035,0.001894
"826","sawtimber",0.248363,0.001823
"827","sapling",0.030987,0.00267
"827","poles",-0.265687,0.001986
"827","sawtimber",1.195722,0.001795
"830","sapling",0.041238,0.002603
"830","poles",-0.279035,0.001894
"830","sawtimber",0.248363,0.001823
"831","sapling",0.041238,0.002603
"831","poles",-0.38348,0.001893
"831","sawtimber",-0.460755,0.001904
"832","sapling",0.014284,0.002521
"832","poles",-0.377981,0.001859
"832","sawtimber",-0.069945,0.001818
"833","sapling",0.041238,0.002603
"833","poles",-0.095806,0.001889
"833","sawtimber",0.793996,0.001779
"834","sapling",0.041238,0.002603
"834","poles",-0.279035,0.001894
"834","sawtimber",0.248363,0.001823
"835","sapling",0.051922,0.002631
"835","poles",-0.361464,0.001892
"835","sawtimber",0.301286,0.001791
"836","sapling",0.053215,0.002475
"836","poles",-0.18395,0.001841
"836","sawtimber",-0.035319,0.001807
"837","sapling",0.042519,0.002613
"837","poles",-0.513128,0.001775
"837","sawtimber",-0.515373,0.001775
"838","sapling",0.05082,0.002776
"838","poles",0.459129,0.00156
"838","sawtimber",0.344387,0.00158
"840","sapling",0.053215,0.002475
"840","poles",-0.18395,0.001841
"840","sawtimber",-0.035319,0.001807
"842","sapling",0.053215,0.002475
"842","poles",-0.18395,0.001841
"842","sawtimber",-0.035319,0.001807
"899","sapling",0.053215,0.002475
"899","poles",-0.18395,0.001841
"899","sawtimber",-0.035319,0.001807
"901","sapling",0.058647,0.002378
"901","poles",-0.206213,0.001592
"901","sawtimber",0.603856,0.001483
"920","sapling",0.054564,0.002565
"920","poles",-0.451948,0.001921
"920","sawtimber",0.518892,0.001802
"950","sapling",0.054564,0.002565
"950","poles",0.198966,0.00186
"950","sawtimber",0.0344,0.001882
"970","sapling",0.032199,0.002589
"970","poles",-0.155066,0.001828
"970","sawtimber",-0.316005,0.001851
"999","sapling",0.062125,0.002494
"999","poles",-0.37883,0.001855
"999","sawtimber",0.82352,0.00163
"Other","sapling",0.045146,0.002357
